"variant_name","country_code","year_week","new_cases","number_deaths"
Beta,AT,"2020-09",36,1768
C.1.2,AT,"2020-09",12,1768
C.16,AT,"2020-09",12,1768
C.36+L452R,AT,"2020-09",12,1768
Delta,AT,"2020-09",72,1768
Epsilon,AT,"2020-09",12,1768
Eta,AT,"2020-09",12,1768
Gamma,AT,"2020-09",24,1768
Kappa,AT,"2020-09",12,1768
Lambda,AT,"2020-09",12,1768
Mu,AT,"2020-09",12,1768
Omicron,AT,"2020-09",72,1768
Other,AT,"2020-09",12,1768
Theta,AT,"2020-09",12,1768
UNK,AT,"2020-09",12,1768
XD,AT,"2020-09",12,1768
XF,AT,"2020-09",12,1768
Zeta,AT,"2020-09",12,1768
A.23.1+E484K,AT,"2020-10",114,1744
A.27,AT,"2020-10",114,1744
A.28,AT,"2020-10",114,1744
Alpha,AT,"2020-10",456,1744
AT.1,AT,"2020-10",114,1744
AV.1,AT,"2020-10",114,1744
B.1.1.318,AT,"2020-10",114,1744
B.1.1.519,AT,"2020-10",114,1744
B.1.214.2,AT,"2020-10",114,1744
B.1.526,AT,"2020-10",114,1744
B.1.616,AT,"2020-10",114,1744
B.1.617.3,AT,"2020-10",114,1744
B.1.620,AT,"2020-10",114,1744
B.1.640,AT,"2020-10",114,1744
Beta,AT,"2020-10",342,1744
C.1.2,AT,"2020-10",114,1744
C.16,AT,"2020-10",114,1744
C.36+L452R,AT,"2020-10",114,1744
Delta,AT,"2020-10",684,1744
Epsilon,AT,"2020-10",114,1744
Eta,AT,"2020-10",114,1744
Gamma,AT,"2020-10",228,1744
Kappa,AT,"2020-10",114,1744
Lambda,AT,"2020-10",114,1744
Mu,AT,"2020-10",114,1744
Omicron,AT,"2020-10",684,1744
Other,AT,"2020-10",114,1744
Theta,AT,"2020-10",114,1744
UNK,AT,"2020-10",114,1744
XD,AT,"2020-10",114,1744
XF,AT,"2020-10",114,1744
Zeta,AT,"2020-10",114,1744
A.23.1+E484K,AT,"2020-11",874,1718
A.27,AT,"2020-11",874,1718
A.28,AT,"2020-11",874,1718
Alpha,AT,"2020-11",3496,1718
AT.1,AT,"2020-11",874,1718
AV.1,AT,"2020-11",874,1718
B.1.1.318,AT,"2020-11",874,1718
B.1.1.519,AT,"2020-11",874,1718
B.1.214.2,AT,"2020-11",874,1718
B.1.526,AT,"2020-11",874,1718
B.1.616,AT,"2020-11",874,1718
B.1.617.3,AT,"2020-11",874,1718
B.1.620,AT,"2020-11",874,1718
B.1.640,AT,"2020-11",874,1718
Beta,AT,"2020-11",2622,1718
C.1.2,AT,"2020-11",874,1718
C.16,AT,"2020-11",874,1718
C.36+L452R,AT,"2020-11",874,1718
Delta,AT,"2020-11",5244,1718
Epsilon,AT,"2020-11",874,1718
Eta,AT,"2020-11",874,1718
Gamma,AT,"2020-11",1748,1718
Kappa,AT,"2020-11",874,1718
Lambda,AT,"2020-11",874,1718
Mu,AT,"2020-11",874,1718
Omicron,AT,"2020-11",5244,1718
Other,AT,"2020-11",874,1718
Theta,AT,"2020-11",874,1718
UNK,AT,"2020-11",874,1718
XD,AT,"2020-11",874,1718
XF,AT,"2020-11",874,1718
Zeta,AT,"2020-11",874,1718
A.23.1+E484K,AT,"2020-12",3068,1836
A.27,AT,"2020-12",3068,1836
A.28,AT,"2020-12",3068,1836
Alpha,AT,"2020-12",12272,1836
AT.1,AT,"2020-12",3068,1836
AV.1,AT,"2020-12",3068,1836
B.1.1.318,AT,"2020-12",3068,1836
B.1.1.519,AT,"2020-12",3068,1836
B.1.214.2,AT,"2020-12",3068,1836
B.1.526,AT,"2020-12",3068,1836
B.1.616,AT,"2020-12",3068,1836
B.1.617.3,AT,"2020-12",3068,1836
B.1.620,AT,"2020-12",3068,1836
B.1.640,AT,"2020-12",3068,1836
Beta,AT,"2020-12",9204,1836
C.1.2,AT,"2020-12",3068,1836
C.16,AT,"2020-12",3068,1836
C.36+L452R,AT,"2020-12",3068,1836
Delta,AT,"2020-12",18408,1836
Epsilon,AT,"2020-12",3068,1836
Eta,AT,"2020-12",3068,1836
Gamma,AT,"2020-12",6136,1836
Kappa,AT,"2020-12",3068,1836
Lambda,AT,"2020-12",3068,1836
Mu,AT,"2020-12",3068,1836
Omicron,AT,"2020-12",18408,1836
Other,AT,"2020-12",3068,1836
Theta,AT,"2020-12",3068,1836
UNK,AT,"2020-12",3068,1836
XD,AT,"2020-12",3068,1836
XF,AT,"2020-12",3068,1836
Zeta,AT,"2020-12",3068,1836
A.23.1+E484K,AT,"2020-13",5128,1765
A.27,AT,"2020-13",5128,1765
A.28,AT,"2020-13",5128,1765
Alpha,AT,"2020-13",20512,1765
AT.1,AT,"2020-13",5128,1765
AV.1,AT,"2020-13",5128,1765
B.1.1.318,AT,"2020-13",5128,1765
B.1.1.519,AT,"2020-13",5128,1765
B.1.214.2,AT,"2020-13",5128,1765
B.1.526,AT,"2020-13",5128,1765
B.1.616,AT,"2020-13",5128,1765
B.1.617.3,AT,"2020-13",5128,1765
B.1.620,AT,"2020-13",5128,1765
B.1.640,AT,"2020-13",5128,1765
Beta,AT,"2020-13",15384,1765
C.1.2,AT,"2020-13",5128,1765
C.16,AT,"2020-13",5128,1765
C.36+L452R,AT,"2020-13",5128,1765
Delta,AT,"2020-13",30768,1765
Epsilon,AT,"2020-13",5128,1765
Eta,AT,"2020-13",5128,1765
Gamma,AT,"2020-13",10256,1765
Kappa,AT,"2020-13",5128,1765
Lambda,AT,"2020-13",5128,1765
Mu,AT,"2020-13",5128,1765
Omicron,AT,"2020-13",30768,1765
Other,AT,"2020-13",5128,1765
Theta,AT,"2020-13",5128,1765
UNK,AT,"2020-13",5128,1765
XD,AT,"2020-13",5128,1765
XF,AT,"2020-13",5128,1765
Zeta,AT,"2020-13",5128,1765
A.23.1+E484K,AT,"2020-14",3116,1828
A.27,AT,"2020-14",3116,1828
A.28,AT,"2020-14",3116,1828
Alpha,AT,"2020-14",12464,1828
AT.1,AT,"2020-14",3116,1828
AV.1,AT,"2020-14",3116,1828
B.1.1.318,AT,"2020-14",3116,1828
B.1.1.519,AT,"2020-14",3116,1828
